path,class_name,plane,dice,iou,precision,recall,specificity,hd95,hd95_penalized,empty_prediction,predicted_tumor_pixels,target_tumor_pixels
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00001_gl_ax_t1.jpg,glioma,axial,3.786444528444285e-11,3.786444528444285e-11,4.3956043954111826e-11,2.7322404364119557e-10,0.9650912996778194,74.90922655784593,74.90922655784593,False,2275,366
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00002_gl_ax_t1.jpg,glioma,axial,9.88142292392476e-11,9.88142292392476e-11,2.666666665955555e-10,1.56985871246941e-10,0.9942217907826095,37.20146327005945,37.20146327005945,False,375,637
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00003_gl_ax_t1.jpg,glioma,axial,0.7037974683638039,0.542968750022316,0.7528774543159866,0.6607248960391726,0.9942837454779035,110.16464948493089,110.16464948493089,False,1477,1683
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00004_gl_ax_t1.jpg,glioma,axial,0.5935050392164891,0.4219745223390147,0.892255892274031,0.4446308725298128,0.9990053462638334,43.139309220245984,43.139309220245984,False,594,1192
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00005_gl_ax_t1.jpg,glioma,axial,2.577319586964608e-10,2.577319586964608e-10,1.0,2.577319586964608e-10,1.0,,362.03867196751236,True,0,388
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00006_gl_ax_t1.jpg,glioma,axial,0.9355322338854748,0.8788732394451497,0.9644513137585432,0.9082969432381153,0.9992830647423719,3.1622776601683795,3.1622776601683795,False,1294,1374
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00007_gl_ax_t1.jpg,glioma,axial,0.23830734975074527,0.1352718079475004,0.16512345691896244,0.42800000022879997,0.9917133841865151,122.21692031525949,122.21692031525949,False,648,250
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00008_gl_ax_t1.jpg,glioma,axial,0.7190569744781233,0.5613496932963855,0.5683229814111467,0.9786096256722621,0.9935821469796174,9.0,9.0,False,966,561
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00009_gl_ax_t1.jpg,glioma,axial,0.723042505599037,0.5662228451448416,0.8381742738673146,0.6357199056004832,0.9950471473473743,17.01616250125952,17.01616250125952,False,1928,2542
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00010_gl_ax_t1.jpg,glioma,axial,3.424657533073747e-10,3.424657533073747e-10,1.0,3.424657533073747e-10,1.0,,362.03867196751236,True,0,292
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00011_gl_ax_t1.jpg,glioma,axial,1.4347202293493946e-10,1.4347202293493946e-10,1.7123287668300806e-10,8.849557514292427e-10,0.9910734756889915,55.73405708071407,55.73405708071407,False,584,113
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00012_gl_ax_t1.jpg,glioma,axial,1.0482180292402287e-10,1.0482180292402287e-10,2.577319586964608e-10,1.7667844519846672e-10,0.9940280129290534,34.96064786633852,34.96064786633852,False,388,566
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00013_gl_ax_t1.jpg,glioma,axial,0.9341637010705444,0.8764607679568898,0.9597806215758884,0.9098786828500972,0.9993165791680915,2.8284271247461903,2.8284271247461903,False,1094,1154
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00014_gl_ax_t1.jpg,glioma,axial,0.934815950921495,0.8776097912211084,0.9326702371869675,0.9369715603406237,0.9972034194553068,3.7436083290515794,3.7436083290515794,False,2614,2602
D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00015_gl_ax_t1.jpg,glioma,axial,0.7309184993705745,0.5759429154356837,0.9432387312281738,0.5966209081735353,0.9994735945749285,17.770501135771802,17.770501135771802,False,599,947
