epoch,lr,train_loss,train_seg_loss,train_cls_loss,train_accuracy,train_macro_f1,train_expert_tumor_dice,val_loss,val_seg_loss,val_cls_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_mcc,val_auc,val_expert_tumor_dice,val_expert_tumor_n,selection_score,epoch_seconds
1,0.0001,0.6508222449366539,0.7182322186830349,0.5834122670005376,0.7931607694134409,0.7955054163339924,0.45739274254014745,0.44734414674902473,0.6550276010267196,0.23966069150996464,0.9408602150537635,0.9433582080391837,0.9430316594388995,0.9422631394084429,0.9214385236777097,,0.618087705078288,585,0.7801754222433654,338.4148745536804
2,0.0001,0.42386717990667117,0.6166751050971744,0.2310592543340238,0.9441937781999525,0.9445477468770007,0.6419232974305821,0.37235151022993107,0.5709359155547234,0.17376710586650398,0.9556451612903226,0.9545349702560446,0.9578596929871562,0.9556265563813824,0.9410245126341242,,0.703494299782647,585,0.8295604280820147,347.7968306541443
3,0.0001,0.3386827757963798,0.5358359322387117,0.14152961860385876,0.966753740204227,0.9668438256405415,0.7025202278425728,0.32967732109690223,0.47569907769080133,0.18365556193936255,0.967741935483871,0.9710531544668405,0.9653502905584648,0.9676161622440868,0.957086524429669,0.994284050309115,0.7424763013155032,585,0.855046231779795,325.29792404174805
4,0.0001,0.26724421670843945,0.45237455133643295,0.08211388225030004,0.983139396817858,0.9830927265236582,0.7429769162970464,0.3596837616735889,0.4102577211395387,0.30910980028490864,0.9502688172043011,0.9559309794014883,0.9504877278512021,0.9520137878312915,0.9342118544542315,,0.7523751213000371,585,0.8521944545656643,317.7558078765869
5,0.0001,0.22486801818101657,0.36841364770710144,0.08132238853464602,0.9840892899548801,0.9842041058599269,0.7761845109615348,0.20545824729306725,0.3409601246477455,0.0699563689770237,0.9811827956989247,0.9813125463067596,0.9817189474328536,0.9814957053219324,0.9748090757594531,0.9995977192992891,0.7871796645669855,585,0.884337684944459,329.0129978656769
6,0.0001,0.18117866472092753,0.2979349368288352,0.06442239244316571,0.9878888625029684,0.9878186354215875,0.8023471953932214,0.1949939148560647,0.27109107391167714,0.11889675964591323,0.9811827956989247,0.9821554510999968,0.9809351221180398,0.9814907398443518,0.9748193608552428,,0.789156729543311,585,0.8853237346938314,334.90398502349854
7,0.0001,0.1622130923739269,0.24836731477917245,0.07605887014208099,0.9855141296604132,0.9856240422870594,0.8204011837929344,0.14671063355060035,0.2323895250597308,0.061031741640901055,0.9879032258064516,0.9891414141414141,0.9874187386636909,0.9882285275159544,0.9838220032733638,,0.8037133491956271,585,0.8959709383557908,327.6548328399658
8,0.0001,0.14089400129451574,0.21991002097870951,0.061877980987523465,0.988601282355735,0.9889015516500027,0.8280724972342524,0.16267133436055595,0.22485653090701307,0.10048613929620354,0.9865591397849462,0.9873056791241577,0.985720362401389,0.9864328688190221,0.9820293472007711,0.9962432334188973,0.7948569947837765,585,0.8906449318013994,316.73514318466187
9,5e-05,0.1310329019680099,0.2059587866414672,0.056107017722727005,0.9909760151982901,0.9910829011212228,0.8300558116268997,0.17392215727558058,0.22270240955134873,0.125141903758049,0.9798387096774194,0.9824675058987193,0.9798045254657214,0.9808881371506961,0.9731800609550342,0.9962798263673778,0.7876801165760073,585,0.8842841268633517,315.2227940559387
10,5e-05,0.09930375811200022,0.19040163717341235,0.008205878992200826,0.9983376870102113,0.9983254717882546,0.8493680946780864,0.15815587349796809,0.20662870486417123,0.1096830440144385,0.9838709677419355,0.9844049224487865,0.9839077130293917,0.984090674224634,0.9784353241263205,,0.8167612863402082,585,0.900425980282421,309.67962622642517
11,5e-05,0.0970731512741815,0.1847943415663158,0.009351960895350838,0.9990501068629779,0.9990366364653601,0.8545031566982684,0.11951105556981538,0.193309356768926,0.04571275621332148,0.9919354838709677,0.9927038973566374,0.9920168811238342,0.9923229021507742,0.9892251981656947,,0.8325411123088282,585,0.9124320072298012,315.49522614479065
12,5e-05,0.09300604394681945,0.17976448592395688,0.006247601863524051,0.9985751602944669,0.9986234793364106,0.8597498174378837,0.18688622457526063,0.19535134300108878,0.17842110302499545,0.9798387096774194,0.981163085607635,0.9788822612702309,0.9798699637062318,0.9730697069537796,,0.8320146001302279,585,0.9059422819182299,333.44676399230957
13,5e-05,0.09130521917309169,0.1761714478083728,0.006438990721819209,0.9988126335787224,0.9988762911555729,0.8625582238110368,0.15054218747442769,0.1966234223256188,0.10446095338431738,0.9905913978494624,0.9911244596597337,0.9905101682469751,0.9907727935579423,0.9874246835325795,0.996182873851499,0.8379197869545374,585,0.9143462902562398,323.1201057434082
14,5e-05,0.09283879998035427,0.17386618222951947,0.011811417826732234,0.9981002137259558,0.9981159378192399,0.8640903524586544,0.15330751174159588,0.19385935938967172,0.11275566297192727,0.989247311827957,0.9899903086610251,0.9892411327139802,0.9895508517039284,0.9856397675944769,0.9962171351541173,0.8281597901613285,585,0.9088553209326284,321.5039002895355
15,2.5e-05,0.08823872022498845,0.1676888256713065,0.008788614962679053,0.9981002137259558,0.9980266613318204,0.8643947569788366,0.09956382585549227,0.12532493440053796,0.0738027169499346,0.9919354838709677,0.9929035250463822,0.9915947509408719,0.9922146189859669,0.9892184900565351,0.9986694066760183,0.8238621157458704,585,0.9080383673659187,326.69171142578125
