true_effnet,pred_effnet,true_convnext,pred_convnext,true_trustseg,pred_trustseg,correct_effnet,correct_convnext,correct_trustseg
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,1,0,0,True,False,True
0,0,0,1,0,0,True,False,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,2,0,0,True,False,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,1,0,0,True,False,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,2,0,2,True,False,False
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,2,0,0,True,False,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,1,0,0,True,False,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,1,0,1,True,False,False
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
0,0,0,0,0,0,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,0,1,0,1,1,False,False,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,3,True,True,False
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,1,1,1,1,1,True,True,True
1,2,1,2,1,2,False,False,False
1,1,1,1,1,1,True,True,True
