token,count
brisc2025,4007
t1,4007
train,3405
sa,2026
co,1981
pi,1207
me,1075
gl,922
no,803
test,602
00395,2
00396,2
00397,2
00398,2
00399,2
00400,2
00401,2
00402,2
00403,2
00404,2
00405,2
00406,2
00407,2
00408,2
00409,2
00410,2
00411,2
00412,2
00413,2
00414,2
00415,2
00416,2
00417,2
00418,2
00419,2
00420,2
00421,2
00422,2
00423,2
00424,2
00425,2
00426,2
00427,2
00428,2
00429,2
00430,2
00431,2
00432,2
00433,2
00434,2
00435,2
00436,2
00437,2
00438,2
00439,2
00440,2
00441,2
00442,2
00443,2
00444,2
00445,2
00446,2
00447,2
00448,2
00449,2
00450,2
00451,2
00452,2
00453,2
00454,2
00455,2
00456,2
00457,2
00458,2
00459,2
00460,2
00461,2
00462,2
00463,2
00464,2
