dataset_index,path,plane,true_idx,pred_idx,pred_class,correct,no_tumor_probability,tumor_probability,predicted_tumor_pixels,total_pixels,false_tumor_area_ratio,empty_prediction,false_tumor_detection,max_segmentation_probability,mean_segmentation_probability
560,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00561_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999949932098389,4.923741471429821e-06,0,65536,0.0,True,False,0.014785407111048698,0.0071820784360170364
561,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00562_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999963045120239,3.7260765566315968e-06,0,65536,0.0,True,False,0.023689469322562218,0.00759523781016469
562,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00563_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999971389770508,2.8880638183181873e-06,0,65536,0.0,True,False,0.03283695504069328,0.007914362475275993
563,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00564_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.999996542930603,3.4385827802907443e-06,0,65536,0.0,True,False,0.021044565364718437,0.007525349967181683
564,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00565_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999972581863403,2.783743639156455e-06,0,65536,0.0,True,False,0.2806163728237152,0.00893876887857914
565,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00566_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999972581863403,2.6771233478939394e-06,0,65536,0.0,True,False,0.02748069167137146,0.008362621068954468
566,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00567_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999971389770508,2.7651781238091644e-06,0,65536,0.0,True,False,0.03126191347837448,0.007968837395310402
567,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00568_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.999996542930603,3.477782229310833e-06,0,65536,0.0,True,False,0.04146226868033409,0.008595972321927547
568,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00569_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999964237213135,3.4977276754943887e-06,0,65536,0.0,True,False,0.02595735713839531,0.00849644374102354
569,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00570_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999963045120239,3.7479107959370594e-06,0,65536,0.0,True,False,0.012722708284854889,0.008435295894742012
570,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00571_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999966621398926,3.416364052100107e-06,0,65536,0.0,True,False,0.01214717049151659,0.008406518027186394
571,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00572_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999969005584717,3.093334044024232e-06,0,65536,0.0,True,False,0.015603534877300262,0.008097260259091854
572,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00573_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999966621398926,3.3933433769561816e-06,0,65536,0.0,True,False,0.015603534877300262,0.008453411981463432
573,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00574_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.999996542930603,3.387400511201122e-06,0,65536,0.0,True,False,0.012288597412407398,0.008313221856951714
574,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00575_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999967813491821,3.2741818358772434e-06,0,65536,0.0,True,False,0.012624948285520077,0.008199786767363548
575,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00576_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999966621398926,3.288294010417303e-06,0,65536,0.0,True,False,0.012479699216783047,0.0081596365198493
576,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00577_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999969005584717,3.0567166504624765e-06,0,65536,0.0,True,False,0.019643761217594147,0.008195399306714535
577,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00578_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999966621398926,3.325375018903287e-06,0,65536,0.0,True,False,0.01652955636382103,0.007980898953974247
578,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00579_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999966621398926,3.419371068957844e-06,0,65536,0.0,True,False,0.01572399213910103,0.008035790175199509
579,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00580_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999964237213135,3.542743343132315e-06,0,65536,0.0,True,False,0.015967654064297676,0.00826016440987587
580,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00581_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999964237213135,3.4706483802438015e-06,0,65536,0.0,True,False,0.012527932412922382,0.008265523239970207
581,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00582_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999966621398926,3.23655490319652e-06,0,65536,0.0,True,False,0.037326887249946594,0.00766332633793354
582,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00583_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999960660934448,3.89104570786003e-06,0,65536,0.0,True,False,0.020567094907164574,0.007281987927854061
583,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00584_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999961853027344,3.835758434433956e-06,0,65536,0.0,True,False,0.055208683013916016,0.007299266289919615
584,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00585_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999969005584717,3.0719149890501285e-06,0,65536,0.0,True,False,0.01784873753786087,0.008112962357699871
585,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00586_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999943971633911,5.638829861709382e-06,0,65536,0.0,True,False,0.015365341678261757,0.006977720186114311
586,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00587_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999964237213135,3.589585958252428e-06,0,65536,0.0,True,False,0.018475592136383057,0.007560322526842356
587,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00588_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999886751174927,1.1286535482213367e-05,0,65536,0.0,True,False,0.009340023621916771,0.006759914569556713
588,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00589_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999555349349976,4.448764229891822e-05,0,65536,0.0,True,False,0.009232213720679283,0.005969145335257053
589,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00590_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999953508377075,4.582147084875032e-06,0,65536,0.0,True,False,0.08137363195419312,0.0078486492857337
590,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00591_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999967813491821,3.2602654300717404e-06,0,65536,0.0,True,False,0.08850465714931488,0.007837552577257156
591,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00592_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999958276748657,4.228790203342214e-06,0,65536,0.0,True,False,0.01358439214527607,0.008325650356709957
592,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00593_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999957084655762,4.320914740674198e-06,0,65536,0.0,True,False,0.012821214273571968,0.008388032205402851
593,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00594_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999938011169434,6.22309880782268e-06,0,65536,0.0,True,False,0.011158031411468983,0.007889019325375557
594,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00595_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999951124191284,4.813507075596135e-06,0,65536,0.0,True,False,0.015014749020338058,0.007777372375130653
595,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00596_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999945163726807,5.417448846856132e-06,0,65536,0.0,True,False,0.018689308315515518,0.008195508271455765
596,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\no_tumor\brisc2025_test_00597_no_ax_t1.jpg,axial,3,3,no_tumor,True,0.9999949932098389,5.07320555698243e-06,0,65536,0.0,True,False,0.1041124016046524,0.008108590729534626
