selection_id,dataset_index,path,mask_path,class_name,plane,true_idx,phase9_pred_idx,phase9_pred_class,phase9_correct,phase9_confidence,forward_pred_idx,forward_pred_matches_phase9,target_score,xai_dice,xai_iou,pointing_game,tumor_saliency_fraction,cam_area_ratio,degenerate_cam,cam_max,cam_mean,expert_tumor_area_ratio
1,455,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00456_me_co_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00456_me_co_t1.png,meningioma,coronal,1,1,meningioma,True,1.0,1,True,7.622802734375,0.27635619242579323,0.16033254156769597,0.0,0.11198050880685989,0.038543701171875,False,1.0,0.047306664288043976,0.0061798095703125
2,130,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00131_gl_co_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00131_gl_co_t1.png,glioma,coronal,0,0,glioma,True,1.0,0,True,8.008246421813965,0.2027097446586764,0.11278631487387648,0.0,0.08206757963666472,0.049041748046875,False,1.0,0.06238781288266182,0.009521484375
3,905,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00906_pi_co_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00906_pi_co_t1.png,pituitary,coronal,2,2,pituitary,True,1.0,2,True,10.571555137634277,0.33482364629905614,0.20107398568019094,0.0,0.2239687332365877,0.01776123046875,False,1.0,0.0264181699603796,0.0129547119140625
4,420,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00421_me_co_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00421_me_co_t1.png,meningioma,coronal,1,1,meningioma,True,1.0,1,True,10.9621000289917,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0463714599609375
5,402,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00403_me_co_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00403_me_co_t1.png,meningioma,coronal,1,1,meningioma,True,0.9995,1,True,8.641966819763184,0.4954621848739496,0.3293118856121537,1.0,0.3383233549066029,0.025421142578125,False,1.0,0.03164560720324516,0.0199737548828125
6,100,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00101_gl_co_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00101_gl_co_t1.png,glioma,coronal,0,0,glioma,True,1.0,0,True,10.85360050201416,0.2903869166334264,0.16985534297713487,0.0,0.11410467576121529,0.0310516357421875,False,1.0,0.04158463329076767,0.0072021484375
7,254,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00255_me_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00255_me_ax_t1.png,meningioma,axial,1,1,meningioma,True,0.9995,1,True,6.379804611206055,0.28948758584257794,0.1692402717726992,0.0,0.34643493144434984,0.029266357421875,False,1.0,0.04088357090950012,0.0573883056640625
8,966,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00967_pi_sa_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00967_pi_sa_t1.png,pituitary,sagittal,2,2,pituitary,True,1.0,2,True,10.369050979614258,0.5518181818181818,0.3810420590081607,1.0,0.17191543043574284,0.0242767333984375,False,1.0,0.04114646092057228,0.0092926025390625
9,406,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00407_me_co_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00407_me_co_t1.png,meningioma,coronal,1,1,meningioma,True,1.0,1,True,10.953859329223633,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0314788818359375
10,468,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00469_me_co_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00469_me_co_t1.png,meningioma,coronal,1,1,meningioma,True,1.0,1,True,9.999680519104004,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0193939208984375
