epoch,lr,train_loss,train_dice,train_iou,train_precision,train_recall,train_specificity,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,epoch_seconds
1,0.0001,0.4253496860248455,0.6619237785088123,0.5394811256145293,0.5961255389648143,0.853555366396904,0.9862030321273251,0.27290050035867935,0.7642266906224764,0.6580850750972063,0.7794877194950723,0.813718575392014,0.9965711358266,118.75635957717896
2,0.0001,0.19038128051996808,0.7854115220083706,0.6795849246535324,0.7774059455751797,0.8441456408028442,0.9960066306130322,0.14854499651835515,0.7981474237564282,0.6949165683526259,0.7972286242705126,0.842165424171676,0.9957188089688619,116.2976222038269
3,0.0001,0.12608967320138706,0.8130117304947065,0.7118450115268357,0.8287324231603871,0.8331772800229021,0.9971355767065776,0.120278144436769,0.810462309152652,0.708726913908608,0.8205248893835606,0.8352794556536226,0.996780721244649,116.06455945968628
4,0.0001,0.10963354880611102,0.8248382797419737,0.7259390198666117,0.8442014197364521,0.8366200764110123,0.9974027037044654,0.11647401952590698,0.8067482976831941,0.7064962864941002,0.8278881207490578,0.8237514308375171,0.9972784075981531,116.34398794174194
5,0.0001,0.10021520013682508,0.8352892860986184,0.7378565589874839,0.855568500244675,0.8401989648883469,0.9977003657011594,0.11221615353073829,0.8112776310015948,0.7116669902434716,0.8336018587788965,0.8295585322583843,0.9968454935611822,116.70399856567383
6,0.0001,0.09483685809669,0.8417039003925048,0.7451703803262849,0.8646912279624294,0.8427083125148994,0.9978634738115872,0.10878131523346289,0.8150773020891043,0.7157911191638718,0.8447580259070437,0.8221580012231811,0.9974036775083623,116.00475716590881
7,0.0001,0.0935065663613127,0.8421322621297145,0.74592551301067,0.8641900873702505,0.8440113689588464,0.9978232889071755,0.10634917360213068,0.8183534247243506,0.7205238382021586,0.8388954237994984,0.8269485073211865,0.9974075094247475,117.18777775764465
8,0.0001,0.09039122981113801,0.8465057211221704,0.7519207654367899,0.8699131304227211,0.8444834841046356,0.9980295247213852,0.11460234321590163,0.8018444035807226,0.7057223238496699,0.8615304591309311,0.7875978035804553,0.9980987609961094,126.51045513153076
9,5e-05,0.08884821003437907,0.8484720073748326,0.7544123212208494,0.8744484464039549,0.8450530875420225,0.9980792597584103,0.10821501695447498,0.8140063488585317,0.7163119089909089,0.8470758169125288,0.8181232873191181,0.9978193956562597,139.35686492919922
10,5e-05,0.08164142768668092,0.86047379794904,0.7679298180312926,0.8837425986637816,0.8539902998341454,0.998222312633542,0.10066878225686204,0.8275954090631925,0.7307979928122627,0.8535866796460926,0.8334357577511388,0.9976751730992244,118.34432530403137
11,5e-05,0.0794317151469309,0.864204963768162,0.7725117418213167,0.8864582735271269,0.8571058667224386,0.9982636988450939,0.10040121489228346,0.8277556732169583,0.7310897717109093,0.8757145018659086,0.8133778541516035,0.9980969164106581,122.56662440299988
12,5e-05,0.07779297883203928,0.8664189139426043,0.7759631837623707,0.8889788138693657,0.8589474358708387,0.9983189264357378,0.0976959722992192,0.8325966297051846,0.73651048454464,0.86662284757337,0.8294319846691229,0.9979231945469849,119.51456999778748
13,5e-05,0.07605625020457063,0.8693943503110305,0.7793720570451396,0.8920796368145136,0.8600755738463379,0.9983521010276776,0.09832121024911221,0.8315776597740304,0.7357210194962657,0.851734869602399,0.8430759911863213,0.9976791501045227,118.87330412864685
14,2.5e-05,0.07559775786051427,0.8699687677593047,0.7800879131480691,0.8922562155746607,0.8615226395752119,0.9983605512098414,0.10340603781052125,0.8221952506619641,0.72798179581634,0.8658412096846817,0.8161047084718688,0.9980786873744084,121.9260311126709
15,2.5e-05,0.07281623660150358,0.874607176884361,0.7862692946109219,0.8967390937217767,0.8644487459014579,0.9984425497803711,0.09829071375549349,0.8304020279493087,0.7365945561319335,0.8686448215419411,0.8276790864447243,0.9979988995780292,121.29237174987793
