epoch,lr,train_loss,train_accuracy,train_macro_f1,train_mcc,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_mcc,val_auc,epoch_seconds
1,0.0001,0.6310680645204615,0.8283068154832581,0.8279984014242614,0.770350086185823,0.23822144619239274,0.9206989247311828,0.919540756830979,0.9226589426118674,0.9203938931735732,0.8943655069719122,,87.23403668403625
2,0.0001,0.11150963825968319,0.9636665875089052,0.9644534342397019,0.9513592312183744,0.16498939308427996,0.9489247311827957,0.9492064237662485,0.9505026516455493,0.9492317535379379,0.9320430613477618,,55.74187898635864
3,0.0001,0.0683690640633929,0.9762526715744478,0.9766186358451208,0.9681966434021317,0.14804711601426523,0.967741935483871,0.9709295096834591,0.9664514314715863,0.9681581401328728,0.9571071738946944,,55.7496874332428
4,0.0001,0.047702323790437054,0.9850391830919022,0.9854828053667478,0.9799582117291706,0.18071787491921457,0.9744623655913979,0.9766048805261272,0.9733499676538552,0.9746072939803438,0.9660204916046454,0.9968241939449568,57.8138370513916
5,0.0001,0.02126138772734962,0.9916884350510567,0.9919907331043692,0.9888702151459849,0.0936236439212676,0.9798387096774194,0.9804870218437718,0.9793023600229038,0.9798390828869785,0.973014053649491,,57.88669991493225
6,0.0001,0.01655652120492706,0.9940631678936119,0.9941695656105116,0.9920518417393117,0.09806789714162067,0.9811827956989247,0.9819814874370427,0.98084787631184,0.9812987901738833,0.9748687792315817,,58.29919099807739
7,0.0001,0.01742606193026245,0.9943006411778675,0.9943270554244775,0.9923664797596455,0.10791066993949233,0.978494623655914,0.9795449874251206,0.977836481988411,0.9785123522860025,0.9712942912877282,0.9989162866824027,56.175939083099365
8,0.0001,0.008958217735896608,0.9964379007361672,0.9964715187621571,0.9952297921335699,0.07166867550983223,0.9852150537634409,0.9859380164681548,0.984696214758603,0.9852822170035807,0.9802095714228158,0.9987512656211984,57.58156752586365
9,0.0001,0.01191521803462526,0.9976252671574448,0.997723822747959,0.996819230724833,0.06365917526906537,0.9852150537634409,0.9862765181161637,0.9842084704084746,0.9851425824375459,0.9802458494755004,0.999307560687305,65.77701473236084
10,0.0001,0.01207502982135732,0.9966753740204227,0.9967825105058463,0.9955469453553698,0.07476954482575898,0.9879032258064516,0.9879427295755752,0.9876031915027891,0.9877567664457885,0.9838049225070015,0.998720166398693,52.384840965270996
11,0.0001,0.009510934338720434,0.9969128473046782,0.9970555279874626,0.9958647814321226,0.08325305997684437,0.989247311827957,0.98984273650216,0.9886877741966859,0.9892320771276709,0.9856118460011889,0.9991458385803672,50.31518626213074
12,0.0001,0.01010000734029398,0.9978627404417003,0.9979602462980617,0.9971371391649474,0.07795465040591455,0.9905913978494624,0.9906732607313162,0.9905101682469751,0.9905612056379015,0.9874168357986968,0.9989330780236892,49.90365982055664
13,0.0001,0.005983118602144751,0.9981002137259558,0.9982156077817274,0.9974551025366434,0.11191704228360166,0.9905913978494624,0.991006328187713,0.9902068767359449,0.990568960972475,0.9874145528881918,0.9966488561858274,50.18578314781189
14,5e-05,0.0043405096255115325,0.9988126335787224,0.9988646946267519,0.9984094812351323,0.08682547637852289,0.9879032258064516,0.9886034958466641,0.9874115281173463,0.9879738468200236,0.9838108234398765,,49.84875273704529
15,5e-05,0.005181243656878329,0.9981002137259558,0.9982428153467281,0.9974553758897893,0.0882471711725317,0.989247311827957,0.9897401064759643,0.9887533883638517,0.9892169187108708,0.9856078877820377,0.9979266360710727,50.51890158653259
