epoch,lr,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,epoch_seconds
1,0.0001,0.5775342254678985,0.5246476761474845,0.4071320922154447,0.4191104224604419,0.659824914402432,0.5304688508693989,0.5785039307724716,0.8541461437176435,0.9896514720386929,74.88764882087708
2,0.0001,0.3209678005553098,0.7358636231238139,0.6222142206082022,0.24228343275877146,0.7662224632043105,0.6583327061090714,0.8091890354441781,0.7797500043852716,0.9975544461837181,72.25498843193054
3,0.0001,0.18078019876698942,0.7897949783122482,0.685200921939191,0.1473420990201143,0.7980473996227623,0.6951642280969864,0.8053542278770708,0.8295972759907062,0.9962003945285438,72.46013236045837
4,0.0001,0.1274822001044013,0.8142114882019983,0.7124928651368561,0.13040608904427953,0.7933213617047693,0.6939148928365136,0.8442302550006117,0.7851615546096085,0.9980552030424786,78.53644609451294
5,0.0001,0.11220914838106735,0.8216528551302095,0.7226887396424289,0.12009030137306605,0.8042870509318817,0.7062291065851848,0.8346122599055624,0.8121093267049545,0.9972458506241823,73.1414623260498
6,0.0001,0.10353724811460085,0.8307518149919556,0.7327859835780185,0.11831670866435409,0.8027680471412137,0.7035736361120501,0.8348340839402288,0.8104351418650049,0.9974618712042131,73.1238956451416
7,5e-05,0.09986566077323927,0.8337868932940534,0.7360397031629718,0.11760452175751711,0.8015356808646112,0.7037354189106542,0.8615979468720592,0.795693751787528,0.9981254533824757,75.38626337051392
8,5e-05,0.09100300323776,0.8472141201657374,0.7521709445594014,0.10430716324565757,0.8235257761091248,0.7246180201188112,0.8520500008876507,0.8240325635315007,0.9977013768293919,75.85674786567688
9,5e-05,0.08812527887631154,0.851719840137279,0.75712849178176,0.10250376349585688,0.8257379980168791,0.7277082357651148,0.8602406641356966,0.8179878262373117,0.9978133565340287,75.17713451385498
10,5e-05,0.08478853293663062,0.8567992821695724,0.7627737900773108,0.10177555707020637,0.8271649675491529,0.7290859079768515,0.8612559540658935,0.8268957480406149,0.9975688518621982,75.18321490287781
11,5e-05,0.08518416153779929,0.8555403112789283,0.7617207552499817,0.1028257611916106,0.8234382860680931,0.7270678812622005,0.8432844560370486,0.8370041966438293,0.9974456168647505,75.40017604827881
12,5e-05,0.08244268321724618,0.8597452146707526,0.7672876506899866,0.10094981415786294,0.8273921262504708,0.7313555437275487,0.860888751449748,0.8241810066068275,0.9976239342974801,76.31682682037354
13,5e-05,0.08090146359254197,0.8620916682740917,0.7694811278207291,0.09995381886887754,0.8290051885140248,0.7329536173078749,0.8461277517498049,0.8417390217128982,0.9974455977097536,75.7180187702179
14,5e-05,0.07992439640568938,0.863552236902541,0.7717812025316672,0.10157733926406273,0.8264583919802283,0.7303393912111592,0.8657627938140152,0.8202268994771518,0.9978529648903088,75.49367833137512
15,2.5e-05,0.07911546524740072,0.8647721713579796,0.7734202142210974,0.10326260683628229,0.8228732016351488,0.7279997391578479,0.8409114021521348,0.8396800879739289,0.997203009454613,75.91318964958191
